Cheddar Cheese,60,1,5,3,90,4,0,0
Cooper Sharp,50,0,5,3,230,3,0,0
Parmesan Cheese,25,1,2,1,90,1,0,0
Pepper Jack Cheese,50,0,5,3,95,3,0,0
Provolone Cheese,50,0,4,3,100,3,0,0
Swiss Cheese,50,1,4,3,30,4,0,0
White American Cheese,50,0,4,3,260,3,0,0
Yellow American Cheese,50,0,4,3,250,3,0,0
Bacon Strips,25,0,2,1,125,2,0,0
Beef Steak,70,1,4,1,260,10,0,0
Bologna,120,1,11,5,430,4,0,0
Breaded Chicken Strip,80,5,5,1,300,5,0,0
Chicken Steak,70,1,25,1,280,11,0,0
Cooked Salami,100,1,8,3,460,5,0,0
Genoa Salami,25,0,3,1,110,1,0,0
Grilled Chicken,60,1,1,0,150,11,0,0
Ham 1.44oz,45,1,2,1,370,7,0,0
Honey Smoked Turkey,45,3,1,0,410,8,0,0
Hot Turkey,70,2,3,1,390,9,0,0
Imported Ham,35,1,1,0,330,7,0,0
Italian Meats,80,1,5,2,470,7,0,0
Liverwurst,140,1,11,3,390,6,0,0
Meatballs,180,10,13,5,840,8,3,0
Oven Roasted Turkey,40,1,1,0,340,8,0,0
Pepperoni,160,1,15,6,650,7,0,0
Pork Roll,80,0,7,3,140,5,0,0
Prime Rib,110,3,6,2,380,12,0,0
Pulled Pork,90,0,4,2,290,14,0,0
Roast Beef,60,1,1,0,190,11,0,0
Sausage,200,1,19,6,420,6,0,0
Turkey,40,2,1,0,480,6,0,0
Turkey Sausage,90,1,7,2,210,7,0,0
Junior Roll,150,30,2,0,400,5,1,0
Shorti Roll,200,40,2,1,530,7,2,0
Classic Roll,340,68,4,1,900,12,3,0
2ft Roll,380,73,4,1,700,14,8,0
Wheat Junior Roll,240,44,4,0,370,9,4,0
Wheat Shorti Roll,240,44,4,0,370,9,4,0
Kaiser Roll,190,35,2,1,360,7,2,0
BBQ Sauce,40,9,0,0,160,0,0,0
Buffalo Sauce,40,1,4,1,310,0,0,0
Butter,100,0,11,7,115,0,0,0
Cranberry Sauce,25,6,0,0,10,0,0,0
Creamy Pesto Spread,120,0,13,3,180,1,0,0
Honey Mustard,25,5,0,0,180,0,0,0
Creamy Horseradish,70,3,7,2,100,1,0,0
Hot Sauce,5,0,0,0,45,0,0,0
Ketchup,20,5,0,0,130,0,0,0
Marinara Sauce,15,2,1,0,180,0,0,0
Mayonnaise,70,0,8,2,50,0,0,0
Miracle Whip Dressing,35,2,3,0,120,0,0,0
Oil,20,0,3,0,0,0,0,0
Ranch Dressing,100,2,10,2,140,0,0,0
Spicy Mustard,15,0,0,0,230,0,0,0
Sour Cream,60,2,5,3,50,1,0,0
Vinegar,5,0,0,0,0,0,0,0
Yellow Mustard,0,0,0,0,270,0,0,0
Avocado,60,3,6,1,0,1,2,0
Cucumbers,10,2,0,0,0,0,0,0
Fresh Salsa,10,2,0,0,10,0,0,0
Hot Pepper Rings,5,1,0,0,360,0,0,0
Jalapenos ,5,0,0,0,180,0,1,0
Roasted Peppers,10,1,1,0,70,0,0,0
Sauteed Onions,5,2,0,0,0,0,0,0
Shredded Lettuce,0,0,0,0,0,0,0,0
Sliced Onions,5,1,0,0,0,0,0,0
Sliced Tomatoes,5,1,0,0,0,0,0,0
Spinach,5,1,0,0,10,0,0,0
Sweet Pepper Strips,15,4,0,0,85,4,0,0
Sweet Pickle Chips,45,10,0,0,330,0,0,0
